PMID,Model,Type,Gold_Standard,Predicted,TP,FN,FP
19096921,NER,participants,children with pervasive developmental disorders .,children with pervasive developmental disorders,1,0,0
19096921,LLM,interventions,medication | parent training | risperidone | structured parent training | risperidone | medication | parent training | medication,risperidone plus structured parent training | risperidone only,2,2,0
19096921,NER,interventions,medication | parent training | risperidone | structured parent training | risperidone | medication | parent training | medication,medication | parent training | risperidone plus structured parent training | risperidone | medication | training | pharmacotherapy,4,0,2
19096921,LLM,outcomes,"noncompliance , irritability and adaptive functioning . | tantrums , aggression and self-injury ; | noncompliance and adaptive functioning . | symptom | functional | effects",noncompliance | irritability | adaptive functioning | tantrums | aggression | self-injury | symptom reduction | functional improvement,5,1,3
19096921,NER,outcomes,"noncompliance , irritability and adaptive functioning . | tantrums , aggression and self-injury ; | noncompliance and adaptive functioning . | symptom | functional | effects",noncompliance irritability and adaptive functioning | tantrums aggression and self-injury | noncompliance and adaptive functioning | symptom reduction | functional improvement,5,1,0
25931290,LLM,participants,"Children with Autism Spectrum Disorders : | children with autism spectrum disorder ( ASD ) . Participants were 44 children ages 6-12 ( n = 22 typical , n = 22 ASD ) .",,0,2,0
25931290,NER,participants,"Children with Autism Spectrum Disorders : | children with autism spectrum disorder ( ASD ) . Participants were 44 children ages 6-12 ( n = 22 typical , n = 22 ASD ) .",children with autism spectrum disorders | children with autism spectrum disorder ( asd ) . participants were 44 children ages 6-12 ( n = 22 typical n = 22 asd,2,0,0
25931290,LLM,interventions,Sensory Adapted Dental Environments | sensory adapted dental environment ( SADE ) | regular dental environment ( RDE ) | SADE | SADE | RDE | SADE .,,0,6,0
25931290,NER,interventions,Sensory Adapted Dental Environments | sensory adapted dental environment ( SADE ) | regular dental environment ( RDE ) | SADE | SADE | RDE | SADE .,sensory adapted dental environments | sensory adapted dental environment ( sade | professional | cleanings | regular dental environment ( rde | one in a sade | sad | rd | sad,5,1,3
25931290,LLM,outcomes,"distress , sensory discomfort , and perception of pain | physiological anxiety , behavioral distress , pain intensity , and sensory discomfort . | physiological anxiety | pain and sensory discomfort",,0,4,0
25931290,NER,outcomes,"distress , sensory discomfort , and perception of pain | physiological anxiety , behavioral distress , pain intensity , and sensory discomfort . | physiological anxiety | pain and sensory discomfort",distress sensory discomfort and perception of pain | physiological anxiety behavioral distress pain intensity and sensory discomfort | physiological anxiety | lower pain and sensory discomfort,4,0,0
23103798,LLM,participants,refractory monosymptomatic nocturnal enuresis : | patients with refractory monosymptomatic nocturnal enuresis . | 28 patients with refractory monosymptomatic nocturnal enuresis | patients with refractory monosymptomatic nocturnal enuresis .,patients with refractory monosymptomatic nocturnal enuresis,1,2,0
23103798,NER,participants,refractory monosymptomatic nocturnal enuresis : | patients with refractory monosymptomatic nocturnal enuresis . | 28 patients with refractory monosymptomatic nocturnal enuresis | patients with refractory monosymptomatic nocturnal enuresis .,refractory monosymptomatic nocturnal enuresis | patients with refractory monosymptomatic nocturnal enuresis | 28 patients with refractory monosymptomatic nocturnal enuresis | 13 patients | 14 | patients with refractory monosymptomatic nocturnal enuresis,3,0,2
23103798,LLM,interventions,posterior tibial nerve stimulation | posterior tibial nerve stimulation | posterior tibial nerve stimulation | placebo | posterior tibial nerve stimulation | posterior tibial nerve stimulation | Posterior tibial nerve stimulation,posterior tibial nerve stimulation | a weekly session of posterior tibial nerve stimulation for 12 weeks,2,1,0
23103798,NER,interventions,posterior tibial nerve stimulation | posterior tibial nerve stimulation | posterior tibial nerve stimulation | placebo | posterior tibial nerve stimulation | posterior tibial nerve stimulation | Posterior tibial nerve stimulation,posterior tibial nerve stimulation | posterior tibial nerve stimulation | posterior tibial nerve stimulation | placebo | posterior tibial nerve stimulation | posterior tibial nerve stimulation | posterior tibial nerve stimulation,2,1,0
23103798,LLM,outcomes,early clinical and urodynamic results | clinical and urodynamic findings . | baseline clinical and urodynamic data . | detrusor overactivity | bladder capacity . | response to posterior tibial nerve stimulation | response | number of wet nights | urodynamic parameters | number of wet nights and urodynamic parameters | response,partial or full response to posterior tibial nerve stimulation | decreased bladder capacity | detrusor overactivity | average number of wet nights,4,6,0
23103798,NER,outcomes,early clinical and urodynamic results | clinical and urodynamic findings . | baseline clinical and urodynamic data . | detrusor overactivity | bladder capacity . | response to posterior tibial nerve stimulation | response | number of wet nights | urodynamic parameters | number of wet nights and urodynamic parameters | response,detrusor overactivity | decreased bladder capacity | full response | average number of wet nights | urodynamic parameters | number of wet nights and urodynamic parameters | partial or full response,6,4,1
21924760,LLM,participants,"atrial fibrillation patients : | ACTIVE W study patients , cases with stroke and cases with bleeding were separately matched with controls . | 32 cases with ischemic stroke and 234 cases with bleeding in the analysis were matched | 122 and 865 controls | lower in individual AF patients",atrial fibrillation patients | individual AF patients,2,3,0
21924760,NER,participants,"atrial fibrillation patients : | ACTIVE W study patients , cases with stroke and cases with bleeding were separately matched with controls . | 32 cases with ischemic stroke and 234 cases with bleeding in the analysis were matched | 122 and 865 controls | lower in individual AF patients",atrial fibrillation patients | active w study patients cases with stroke and cases with bleeding | 32 cases with ischemic stroke and 234 cases with bleeding in the analysis were matched | 4:1 | to 122 and 865 controls | af patients with stroke or bleeding,4,1,2
21924760,LLM,interventions,Time in therapeutic range ( TTR ) | mean TTR | CONCLUSIONS | Maintaining a high,anticoagulation control | anticoagulation quality measures | Time in therapeutic range ( TTR ) for international normalized ratio ( INR ),1,3,2
21924760,NER,interventions,Time in therapeutic range ( TTR ) | mean TTR | CONCLUSIONS | Maintaining a high,,0,4,0
21924760,LLM,outcomes,risk of stroke and bleeding events | Time in therapeutic range ( TTR ) | stroke and bleeding | anticoagulation quality measures | the stroke analysis | the bleeding analysis | mean TTR | lower . | stroke and | spent more | CONCLUSIONS | Maintaining a high | treatment to prevent stroke and bleeding,stroke | bleeding | ischemic stroke,2,11,1
21924760,NER,outcomes,risk of stroke and bleeding events | Time in therapeutic range ( TTR ) | stroke and bleeding | anticoagulation quality measures | the stroke analysis | the bleeding analysis | mean TTR | lower . | stroke and | spent more | CONCLUSIONS | Maintaining a high | treatment to prevent stroke and bleeding,stroke and bleeding events | time in therapeutic range | mean ttr | below range for stroke | time above range for bleeding | ttr,3,10,3
11229858,LLM,participants,children with malaria . | children with malaria | malaria .,children with malaria,1,2,0
11229858,NER,participants,children with malaria . | children with malaria | malaria .,children with malaria | children with malaria,1,2,0
11229858,LLM,interventions,antipyretic drugs | antipyretics | naproxen | metamizol | Antipyretic,antipyretic drugs | naproxen | metamizol | antipyretic treatment,4,1,0
11229858,NER,interventions,antipyretic drugs | antipyretics | naproxen | metamizol | Antipyretic,antipyretic drugs | antip | s | naproxen | metamizol,5,0,0
11229858,LLM,outcomes,reduction of fever peaks . | fever clearance,reduction of fever peaks | fever clearance,2,0,0
11229858,NER,outcomes,reduction of fever peaks . | fever clearance,fever peaks | fever clearance,2,0,0
18229990,LLM,participants,autism : | preschool children with autism | Participants were 58 children ( 46 boys ) with autism between 3 and 4 years of age . | young children with autism .,preschool children with autism | children between 3 and 4 years of age | children with autism,3,1,0
18229990,NER,participants,autism : | preschool children with autism | Participants were 58 children ( 46 boys ) with autism between 3 and 4 years of age . | young children with autism .,preschool children with autism | participants | 58 children ( 46 boys ) with autism between 3 and 4 years of age | young children with autism,3,1,1
18229990,LLM,interventions,joint attention | play interventions . | joint attention ( JA ) | symbolic play ( SP ) | JA | SP | JA | SP | JA | SP | JA | SP,JA intervention | SP intervention | control group | interventions were conducted 30 min daily for 5-6 weeks,2,4,2
18229990,NER,interventions,joint attention | play interventions . | joint attention ( JA ) | symbolic play ( SP ) | JA | SP | JA | SP | JA | SP | JA | SP,joint attention and play interventions | joint attention ( ja ) and symbolic play ( sp | ja intervention an sp intervention or control group | ja intervention | sp | control interventions,4,2,2
18229990,LLM,outcomes,"Language outcome | language outcome | JA skills , SP skills , mother-child interactions , and language development | expressive language gains | language outcome",language outcome | expressive language gains | language development,3,1,0
18229990,NER,outcomes,"Language outcome | language outcome | JA skills , SP skills , mother-child interactions , and language development | expressive language gains | language outcome",ja skills sp skills mother-child interactions and language development | expressive language gains | language outcome,3,1,0
15133359,LLM,participants,biventricular implantation procedures . | Thirty-four consecutive patients,,0,2,0
15133359,NER,participants,biventricular implantation procedures . | Thirty-four consecutive patients,thirty-four consecutive patients were randomly assigned | 18 patients ) or | 16 patients,1,1,2
15133359,LLM,interventions,catheters ( guiding catheter alone | electrophysiology catheter advanced | ( electrophysiology catheter aided | EPA | GCA | GCA | EPA | EPA | GCA | EPA | GCA | EPA | GCA,,0,5,0
15133359,NER,interventions,catheters ( guiding catheter alone | electrophysiology catheter advanced | ( electrophysiology catheter aided | EPA | GCA | GCA | EPA | EPA | GCA | EPA | GCA | EPA | GCA,dedicated guiding catheters ( guiding catheter alone positioning strategy gca | the aid of an electrophysiology catheter advanced inside the guiding catheter ( electrophysiology catheter aided positioning strategy epa | epa | gca | gca | epa | cs cannulation strategy | epa | gca | epa | gca | epa | gca | an electrophysiology catheter | systems,3,2,4
15133359,LLM,outcomes,"CS cannulation time | Time to successful catheterization of CS | Fluoroscopy time | contrast dye volume | procedural time , fluoroscopy time and contrast dye volume",,0,5,0
15133359,NER,outcomes,"CS cannulation time | Time to successful catheterization of CS | Fluoroscopy time | contrast dye volume | procedural time , fluoroscopy time and contrast dye volume",cs cannulation | time to successful catheterization of cs | fluoroscopy time | contrast dye volume | procedural time fluoroscopy time and contrast dye volume,5,0,0
9229602,LLM,participants,acute allergic conjunctivitis ] | 69 patients,patients with acute allergic conjunctivitis | 69 patients,2,0,0
9229602,NER,participants,acute allergic conjunctivitis ] | 69 patients,acute allergic conjunctivitis | 69 patients were treated over | 2 | course,2,0,2
9229602,LLM,interventions,[ Antazoline/tetryzoline | levocabastine | Antazolin/Tetryzolin | Levocabastine | Antazolin/Tetryzolin | Antazolin/Tetryzolin,Antazoline/tetryzoline eyedrops | Levocabastine eyedrops | Antazolin/Tetryzolin eye drops,3,1,0
9229602,NER,interventions,[ Antazoline/tetryzoline | levocabastine | Antazolin/Tetryzolin | Levocabastine | Antazolin/Tetryzolin | Antazolin/Tetryzolin,antazoline/tetryzoline eyedrops | levocabastine eyedrops | antazolin/tetryzolin eye drops | levocabastine eye drops | antazolin/tetryzolin | antazolin/tetryzolin eye drops,4,0,1
9229602,LLM,outcomes,"efficacy , local tolerance and safety | subjective and objective ocular symptoms | subjective and objective ocular symptoms | onset of action | effective onset of action",antiallergic efficacy | local tolerance | safety | subjective and objective ocular symptoms,2,2,2
9229602,NER,outcomes,"efficacy , local tolerance and safety | subjective and objective ocular symptoms | subjective and objective ocular symptoms | onset of action | effective onset of action",antiallergic efficacy local tolerance and safety | subjective and objective ocular symptoms | subjective and objective ocular symptoms | onset of action,3,1,0
9730996,LLM,participants,severe bronchiectasis . | bronchiectasis . Twenty-four patients ( 12 female ; mean age 51 yr ) | bronchiectasis . | bronchiectasis .,severe bronchiectasis | bronchiectasis | Twenty-four patients ( 12 female ; mean age 51 yr ),3,0,0
9730996,NER,participants,severe bronchiectasis . | bronchiectasis . Twenty-four patients ( 12 female ; mean age 51 yr ) | bronchiectasis . | bronchiectasis .,twenty-four patients ( 12 female ; mean age 51 yr,1,2,0
9730996,LLM,interventions,fluticasone | placebo-controlled | fluticasone | fluticasone | placebo . | fluticasone | fluticasone | placebo | fluticasone | steroid,inhaled fluticasone | inhaled fluticasone ( 500 microgram twice daily ) | corticosteroid therapy | inhaled steroid therapy | fluticasone treatment | high-dose fluticasone,2,3,4
9730996,NER,interventions,fluticasone | placebo-controlled | fluticasone | fluticasone | placebo . | fluticasone | fluticasone | placebo | fluticasone | steroid,fluticasone | corticosteroid | placebo | fluticasone | inhaled fluticasone | placebo | fluticasone | fluticasone | placebo | fluticasone | therapy,3,2,2
9730996,LLM,outcomes,"sputum inflammatory indices | inflammatory and infective markers | spirometry , 24-h sputum volume , sputum leukocyte density , bacterial densities , and concentrations of interleukin ( IL ) -1beta , IL-8 , tumor necrosis factor-alpha ( TNF-alpha ) , and leukotriene B4 ( LTB4 ) | sputum leukocyte density and IL-1beta , IL-8 , and LTB4 | spirometry | reported adverse reactions | sputum inflammatory indices | inflammatory components","sputum inflammatory indices | inflammatory and infective markers | spirometry | 24-h sputum volume | sputum leukocyte density | bacterial densities | concentrations of interleukin ( IL ) -1beta , IL-8 , tumor necrosis factor-alpha ( TNF-alpha ) , and leukotriene B4 ( LTB4 ) | decrease in sputum leukocyte density and IL-1beta , IL-8 , and LTB4",5,2,3
9730996,NER,outcomes,"sputum inflammatory indices | inflammatory and infective markers | spirometry , 24-h sputum volume , sputum leukocyte density , bacterial densities , and concentrations of interleukin ( IL ) -1beta , IL-8 , tumor necrosis factor-alpha ( TNF-alpha ) , and leukotriene B4 ( LTB4 ) | sputum leukocyte density and IL-1beta , IL-8 , and LTB4 | spirometry | reported adverse reactions | sputum inflammatory indices | inflammatory components",indices | spirometry 24-h sputum volume sputum leukocyte density bacterial densities and concentrations of interleukin ( il ) -1beta il-8 tumor necrosis factor-alpha ( tnf-alpha ) and leukotriene b4 ( ltb4 | sputum leukocyte density and il-1beta il-8 and ltb4 | exacerbation | spirometry | adverse reactions | sputum inflammatory indices,5,2,2
10475150,LLM,participants,"healthy volunteers and in patients with primary hypothyroidism . | 8 healthy volunteers , and 6 women with untreated primary hypothyroidism | healthy volunteers | healthy controls | The patients with hypothyroidism | normal subjects and in patients with primary hypothyroidism",healthy volunteers | patients with primary hypothyroidism | women with untreated primary hypothyroidism,3,3,0
10475150,NER,participants,"healthy volunteers and in patients with primary hypothyroidism . | 8 healthy volunteers , and 6 women with untreated primary hypothyroidism | healthy volunteers | healthy controls | The patients with hypothyroidism | normal subjects and in patients with primary hypothyroidism",healthy volunteers and in patients with primary hypothyroidism | 8 healthy volunteers and 6 women with untreated primary hypothyroidism | disease state | patients with hypothyroidism | normal subjects | patients with primary hypothyroidism,4,2,2
10475150,LLM,interventions,somatostatin ( octreotide ) | Somatostatin | somatostatin | saline | octreotide ( Sandostatin ; | octreotide | saline . | octreotide | octreotide | saline ; | octreotide | saline . | octreotide | octreotide | saline ; | octreotide | somatostatin . | somatostatin -- in | octreotide -- fails | somatostatin,subcutaneous injections of either saline or octreotide (Sandostatin; each injection 50 microg) | octreotide | saline,3,8,0
10475150,NER,interventions,somatostatin ( octreotide ) | Somatostatin | somatostatin | saline | octreotide ( Sandostatin ; | octreotide | saline . | octreotide | octreotide | saline ; | octreotide | saline . | octreotide | octreotide | saline ; | octreotide | somatostatin . | somatostatin -- in | octreotide -- fails | somatostatin,somatostatin ( octreotide | saline or octreotide ( sandostatin | octreotide | saline | octreotide | octreotide | octreotide | octreotide | somatostatin | octreotide,5,6,0
10475150,LLM,outcomes,regulation of melatonin secretion | regulation of melatonin secretion . | regulatory influence on melatonin secretion | nocturnal melatonin secretion | melatonin secretion | urinary excretion of melatonin | GH secretion | nocturnal melatonin secretion | Urinary excretion of melatonin | total nocturnal secretion of TSH | nocturnal secretion and urinary excretion of melatonin | regulator of melatonin secretion,nocturnal melatonin secretion | urinary excretion of melatonin | GH secretion | TSH AUC,3,8,1
10475150,NER,outcomes,regulation of melatonin secretion | regulation of melatonin secretion . | regulatory influence on melatonin secretion | nocturnal melatonin secretion | melatonin secretion | urinary excretion of melatonin | GH secretion | nocturnal melatonin secretion | Urinary excretion of melatonin | total nocturnal secretion of TSH | nocturnal secretion and urinary excretion of melatonin | regulator of melatonin secretion,melatonin secretion | nocturnal melatonin secretion | melatonin secretion | urinary excretion of melatonin | gh secretion | nocturnal melatonin secretion | urinary excretion of melatonin | gh secretion | total nocturnal secretion of tsh | nocturnal secretion | urinary excretion of melatonin,6,5,0
3534803,LLM,participants,United States | General surgical patients including those undergoing noncardiac thoracic and pelvic operations who were identified at moderate to high risk for postop DVT were included . | Eight hundred and eighty eight patients were entered into this trial and 744 ( 85 % ) completed the study .,general surgical patients | patients undergoing noncardiac thoracic and pelvic operations | patients at moderate to high risk for postop DVT,1,2,2
3534803,NER,participants,United States | General surgical patients including those undergoing noncardiac thoracic and pelvic operations who were identified at moderate to high risk for postop DVT were included . | Eight hundred and eighty eight patients were entered into this trial and 744 ( 85 % ) completed the study .,united states | general surgical patients including those undergoing noncardiac thoracic and pelvic operations who were identified at moderate to high risk for postop dvt were included | eight hundred and eighty eight patients were entered into this trial and 744 ( 85 % ) completed the study,3,0,0
3534803,LLM,interventions,dihydroergotamine ( DHE ) | heparin | DHE | heparin | DHE | heparin | heparin | DHE | placebo . | DHE/Hep | placebo,dihydroergotamine ( DHE ) and heparin | DHE 0.5 mg plus heparin 5000 U | DHE 0.5 mg plus heparin 2500 U | heparin 5000 U | DHE 0.5 mg,3,3,2
3534803,NER,interventions,dihydroergotamine ( DHE ) | heparin | DHE | heparin | DHE | heparin | heparin | DHE | placebo . | DHE/Hep | placebo,dihydroergotamine ( dhe ) and heparin | dhe 0.5 mg plus heparin 5000 u dhe 0.5 mg plus heparin 2500 u heparin 5000 u and dhe 0.5 mg versus placebo | dhe/hep 5000 | placebo,4,2,0
3534803,LLM,outcomes,"prophylaxis | stasis , a hypercoagulable state and venous endothelial damage . | stasis and the hypercoagulable state | prophylactic efficacy",postoperative deep venous thrombosis ( DVT ) | venous endothelial injury,0,4,2
3534803,NER,outcomes,"prophylaxis | stasis , a hypercoagulable state and venous endothelial damage . | stasis and the hypercoagulable state | prophylactic efficacy",postoperative deep venous thrombosis,0,4,1
12595499,LLM,participants,"in people at high cardiovascular risk : | people with diabetes | 7674 participants with albuminuria data at baseline and at follow-up . Inclusion criteria were known vascular disease or diabetes plus one other cardiovascular risk factor , exclusion criteria included heart failure or known impaired left ventricular function , dipstick-positive proteinuria ( > 1+ ) , and serum creatinine > 2.3 mg/dl ( 200 microM ) . | People without and with diabetes who are at high risk for cardiovascular disease | nondiabetic and in diabetic people .",,0,5,0
12595499,NER,participants,"in people at high cardiovascular risk : | people with diabetes | 7674 participants with albuminuria data at baseline and at follow-up . Inclusion criteria were known vascular disease or diabetes plus one other cardiovascular risk factor , exclusion criteria included heart failure or known impaired left ventricular function , dipstick-positive proteinuria ( > 1+ ) , and serum creatinine > 2.3 mg/dl ( 200 microM ) . | People without and with diabetes who are at high risk for cardiovascular disease | nondiabetic and in diabetic people .",people at high cardiovascular risk | people with diabetes | nondiabetic population | hope ( heart outcomes and prevention evaluation ) study | 9297 participants including 3577 with diabetes and 1956 with microalbuminuria | restricted to 7674 participants with albuminuria data at baseline and at follow-up . inclusion criteria were known vascular disease or diabetes plus one other cardiovascular risk factor exclusion criteria included heart failure or known impaired left ventricular function dipstick-positive proteinuria ( > 1+ ) and serum creatinine > 2.3 mg/dl ( 200 microm | without | participants | 185 | participants | people without and with diabetes who are at high risk for cardiovascular disease | nondiabetic and in diabetic people,5,0,6
12595499,LLM,interventions,ramipril 's | placebo | Ramipril | Ramipril,,0,3,0
12595499,NER,interventions,ramipril 's | placebo | Ramipril | Ramipril,ramipril | placebo | ramipril | ramipril,2,1,0
12595499,LLM,outcomes,Development of renal disease | progress from microalbuminuria | clinical proteinuria | renal insufficiency . | changes of proteinuria | clinical proteinuria | progression of albuminuria | new microalbuminuria or new clinical proteinuria ) | new microalbuminuria | clinical proteinuria . | progression | albuminuria . | clinical proteinuria | progression of albuminuria .,,0,12,0
12595499,NER,outcomes,Development of renal disease | progress from microalbuminuria | clinical proteinuria | renal insufficiency . | changes of proteinuria | clinical proteinuria | progression of albuminuria | new microalbuminuria or new clinical proteinuria ) | new microalbuminuria | clinical proteinuria . | progression | albuminuria . | clinical proteinuria | progression of albuminuria .,clinical proteinuria | albuminuria | microalbuminuria | clinical proteinuria | microalbuminuria | clinical proteinuria,3,9,0
9573502,LLM,participants,patients with hemodynamically decompensated heart failure . | 16 decompensated heart failure patients | decompensated heart failure .,decompensated heart failure patients | patients with hemodynamically decompensated heart failure,2,1,0
9573502,NER,participants,patients with hemodynamically decompensated heart failure . | 16 decompensated heart failure patients | decompensated heart failure .,patients with hemodynamically decompensated heart failure | 16 decompensated heart failure patients | heart,3,0,0
9573502,LLM,interventions,"human brain natriuretic peptide | Human brain natriuretic peptide ( hBNP ) | hBNP | hBNP | placebo-controlled | ( placebo | hBNP | hBNP . | hBNP | hBNP | hBNP | hBNP | placebo , hBNP | hBNP ; | hBNP | hBNP | hBNP | hBNP",a continuous 4-hour infusion of hBNP | hBNP 0.025 or 0.05 microgram/kg/min,2,6,0
9573502,NER,interventions,"human brain natriuretic peptide | Human brain natriuretic peptide ( hBNP ) | hBNP | hBNP | placebo-controlled | ( placebo | hBNP | hBNP . | hBNP | hBNP | hBNP | hBNP | placebo , hBNP | hBNP ; | hBNP | hBNP | hBNP | hBNP",human brain natriuretic peptide | human brain natriuretic peptide ( hbnp | hbnp | placebo | placebo | hbnp | placebo | hbnp | hb | hbnp | hbnp | hbnp,5,3,0
9573502,LLM,outcomes,"Systemic hemodynamic , neurohormonal , and renal effects | systemic hemodynamic , neurohormonal , and renal effects | Urinary volume losses | adverse events . | right atrial pressure and pulmonary capillary wedge pressure | systemic vascular resistance | cardiac index | heart rate . | plasma norepinephrine and aldosterone . Renal hemodynamics | natriuretic effect . | hemodynamic effects | cardiac preload and systemic vascular resistance . | cardiac output | heart rate . | Plasma norepinephrine and aldosterone levels",reduced right atrial pressure and pulmonary capillary wedge pressure by approximately 30 % and 40 % | lowered systemic vascular resistance from 1722 +/- 139 to 1101 +/- 83 dynes.s.cm-5 | a 28 % increase in cardiac index | decreased plasma norepinephrine and aldosterone,4,10,0
9573502,NER,outcomes,"Systemic hemodynamic , neurohormonal , and renal effects | systemic hemodynamic , neurohormonal , and renal effects | Urinary volume losses | adverse events . | right atrial pressure and pulmonary capillary wedge pressure | systemic vascular resistance | cardiac index | heart rate . | plasma norepinephrine and aldosterone . Renal hemodynamics | natriuretic effect . | hemodynamic effects | cardiac preload and systemic vascular resistance . | cardiac output | heart rate . | Plasma norepinephrine and aldosterone levels",right atrial pressure and pulmonary capillary wedge pressure | systemic vascular resistance | cardiac index | heart rate | plasma norepinephrine and aldosterone | hemodynamics | cardiac preload and systemic vascular resistance | cardiac output | heart rate | plasma norepinephrine and aldosterone levels,8,6,1
8913901,LLM,participants,"patients with multivessel coronary artery disease | 4,244 BARI randomized and registry study participants with follow-up ECGs received at the Core ECG Laboratory as of March 1995",,0,2,0
8913901,NER,participants,"patients with multivessel coronary artery disease | 4,244 BARI randomized and registry study participants with follow-up ECGs received at the Core ECG Laboratory as of March 1995","louis university core | patients with multivessel coronary artery disease | 4,244 bari randomized and registry study participants with follow-up ecgs received at the core ecg laboratory as of march 1995 | 568 participants | sample of 812 serial",2,0,3
8913901,LLM,interventions,coronary artery bypass grafting | percutaneous transluminal coronary angioplasty .,,0,2,0
8913901,NER,interventions,coronary artery bypass grafting | percutaneous transluminal coronary angioplasty .,serial ecg classification | coronary artery bypass grafting or percutaneous transluminal coronary angioplasty | st | minnesota code | nov | de | university,2,0,5
8913901,LLM,outcomes,"serial changes in Q , ST , and T wave items according to Minnesota code ( MC ) criteria | changes | MC Q wave progression | MC Q wave progressions | Q wave progression codes",,0,5,0
8913901,NER,outcomes,"serial changes in Q , ST , and T wave items according to Minnesota code ( MC ) criteria | changes | MC Q wave progression | MC Q wave progressions | Q wave progression codes",mc q wave progression | wave,2,3,0
25369243,LLM,participants,"autism spectrum disorder : | children and adolescents with both ASD and attention-deficit/hyperactivity disorder ( ADHD ) . | 97 patients 6-17 years of age , with ASD and ADHD",children and adolescents with both ASD and attention-deficit/hyperactivity disorder (ADHD) | 97 patients 6-17 years of age | with ASD and ADHD,2,1,1
25369243,NER,participants,"autism spectrum disorder : | children and adolescents with both ASD and attention-deficit/hyperactivity disorder ( ADHD ) . | 97 patients 6-17 years of age , with ASD and ADHD",autism spectrum disorder | children and adolescents with both asd and attention-deficit/hyperactivity disorder ( adhd | 97 patients 6-17 years of age with asd and adhd,3,0,0
